OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
182,09/12/2020 10:00:00 AM,415,9065,16648,15183,854,606,1842,904,2554,514,3717,67,2781,4743,288,21089,27589,606,216,1186,508,1474,1754,930,0
183,09/13/2020 10:00:00 AM,421,9119,16724,15254,862,609,1852,911,2570,527,3742,68,2811,4768,290,21167,27683,607,219,1193,510,1493,1770,940,0
184,09/14/2020 10:00:00 AM,424,9191,16797,15299,874,609,1863,918,2591,530,3756,68,2834,4787,291,21281,27760,612,220,1197,512,1506,1778,948,0
185,09/15/2020 10:00:00 AM,429,9302,16905,15236,881,612,1871,942,2607,538,3785,71,2846,4809,293,21375,27891,613,225,1202,515,1525,1819,953,0
186,09/16/2020 10:00:00 AM,431,9398,17165,15085,885,620,1881,949,2628,546,3811,70,2865,4843,289,21467,28034,618,227,1217,519,1546,1833,961,0
187,09/17/2020 10:00:00 AM,435,9452,17221,15129,898,620,1888,964,2646,554,3834,71,2883,4863,293,21574,28202,626,238,1232,520,1556,1846,974,0
188,09/18/2020 10:00:00 AM,439,9504,17288,15177,901,622,1891,968,2664,557,3851,71,2900,4881,293,21640,28361,630,240,1241,524,1589,1855,975,0
189,09/19/2020 10:00:00 AM,443,9559,17365,15204,905,632,1900,985,2686,568,3896,72,2915,4912,295,21760,28495,634,244,1248,528,1627,1879,992,0
190,09/20/2020 10:00:00 AM,444,9622,17423,15226,907,634,1909,997,2694,571,3914,72,2931,4941,295,21814,28555,637,244,1253,539,1646,1893,995,0
191,09/21/2020 10:00:00 AM,447,9677,17486,15259,913,636,1912,1010,2703,575,3935,72,2937,4961,296,21877,28629,638,246,1259,542,1654,1902,1002,0
192,09/22/2020 10:00:00 AM,450,9713,17523,15292,914,638,1917,1017,2716,578,3938,72,2945,4968,297,21933,28715,640,246,1257,543,1676,1914,1010,0
193,09/23/2020 10:00:00 AM,454,9759,17579,15329,920,638,1920,1025,2725,578,3958,72,2945,4983,298,22002,28784,645,251,1259,543,1691,1919,1020,0
194,09/24/2020 10:00:00 AM,459,9812,17655,15374,928,640,1925,1034,2737,582,3975,72,2963,4997,300,22078,28887,650,252,1262,549,1705,1936,1028,0
195,09/25/2020 10:00:00 AM,460,9873,17720,15431,933,640,1937,1038,2745,587,3995,72,2986,5013,300,22185,28995,652,263,1274,551,1720,1949,1040,0
196,09/26/2020 10:00:00 AM,461,9933,17782,15484,939,644,1944,1056,2753,592,4019,72,3008,5034,303,22275,29130,654,272,1288,555,1770,1959,1045,0
197,09/27/2020 10:00:00 AM,463,9969,17837,15525,942,646,1948,1057,2759,593,4037,74,3021,5061,304,22360,29210,659,276,1291,559,1787,1975,1050,0
198,09/28/2020 10:00:00 AM,464,10027,17902,15582,950,652,1952,1068,2770,593,4054,74,3039,5082,304,22421,29305,662,278,1302,565,1794,1992,1048,0
199,09/29/2020 10:00:00 AM,473,10073,17939,15606,961,654,1957,1079,2779,594,4073,74,3045,5098,303,22512,29416,666,276,1306,565,1811,1998,1053,0
200,09/30/2020 10:00:00 AM,474,10117,17994,15629,972,657,1965,1085,2798,594,4088,74,3060,5120,305,22584,29494,666,277,1310,568,1827,2009,1058,0
201,10/01/2020 10:00:00 AM,484,10186,18148,15793,980,659,1975,1090,2819,598,4117,75,3086,5149,305,22679,29617,669,282,1317,570,1837,2016,1059,0
202,10/02/2020 10:00:00 AM,484,10264,18213,15864,994,661,1987,1108,2829,608,4144,76,3101,5172,305,22810,29791,674,289,1330,574,1848,2025,1071,0
203,10/03/2020 10:00:00 AM,492,10323,18285,15898,1001,662,2000,1118,2841,613,4175,76,3124,5217,308,22893,29905,677,295,1337,577,1857,2056,1089,0
204,10/04/2020 10:00:00 AM,492,10376,18354,15954,1005,662,2003,1120,2851,614,4191,76,3141,5234,309,22976,30004,680,299,1343,578,1861,2085,1082,0
205,10/05/2020 10:00:00 AM,495,10429,18409,16023,1009,664,2008,1125,2860,615,4219,76,3148,5262,309,23079,30088,682,311,1348,579,1862,2100,1091,0
206,10/06/2020 10:00:00 AM,498,10473,18455,16056,1019,666,2022,1127,2869,616,4225,76,3167,5276,311,23135,30153,684,323,1357,579,1897,2117,1103,0
207,10/07/2020 10:00:00 AM,501,10527,18522,16100,1032,668,2034,1134,2878,617,4249,76,3191,5292,315,23194,30226,688,325,1360,578,1917,2135,1105,0
208,10/08/2020 10:00:00 AM,504,10572,18668,16263,1041,674,2043,1139,2888,622,4279,76,3207,5322,316,23293,30356,691,329,1363,584,1926,2157,1112,0
209,10/09/2020 10:00:00 AM,506,10655,18792,16354,1047,677,2051,1148,2904,625,4297,76,3227,5357,318,23403,30502,691,335,1361,583,1955,2175,1120,0
210,10/10/2020 10:00:00 AM,513,10732,18887,16390,1057,680,2069,1163,2922,633,4314,79,3246,5391,320,23505,30621,699,341,1363,583,1972,2190,1125,0
211,10/11/2020 10:00:00 AM,524,10787,18974,16448,1066,683,2079,1168,2935,639,4340,81,3262,5422,322,23601,30692,704,342,1370,587,1986,2216,1129,0
212,10/12/2020 10:00:00 AM,525,10875,19043,16508,1073,683,2086,1172,2942,642,4359,82,3272,5459,322,23696,30762,704,343,1371,589,1993,2230,1130,0
213,10/13/2020 10:00:00 AM,528,10915,19102,16543,1074,684,2092,1179,2947,642,4379,82,3288,5473,325,23817,30878,705,345,1373,589,2008,2242,1133,0
214,10/14/2020 10:00:00 AM,536,10986,19176,16584,1078,686,2099,1190,2962,644,4399,87,3317,5487,325,23926,30969,711,358,1375,593,2039,2248,1143,0
215,10/15/2020 10:00:00 AM,538,11053,19275,16647,1082,688,2108,1192,2983,653,4436,88,3335,5508,326,24015,31102,714,363,1382,596,2054,2259,1151,0
216,10/16/2020 10:00:00 AM,543,11151,19403,16681,1098,687,2120,1244,2991,661,4464,94,3353,5534,326,24174,31210,719,368,1385,602,2075,2287,1159,0
217,10/17/2020 10:00:00 AM,551,11222,19494,16773,1113,699,2128,1262,3007,679,4498,96,3374,5566,326,24291,31367,725,377,1392,610,2093,2320,1164,0
218,10/18/2020 10:00:00 AM,561,11265,19565,16842,1117,704,2137,1269,3018,687,4519,100,3395,5580,329,24395,31442,734,383,1395,619,2099,2337,1165,0
219,10/19/2020 10:00:00 AM,569,11336,19646,16906,1120,704,2141,1275,3029,695,4534,105,3417,5605,332,24466,31497,736,387,1400,621,2108,2357,1168,0
220,10/20/2020 10:00:00 AM,587,11391,19749,16937,1132,710,2152,1284,3041,711,4546,106,3430,5628,332,24560,31617,740,395,1409,623,2116,2374,1174,0
221,10/21/2020 10:00:00 AM,594,11433,19799,17000,1141,713,2159,1291,3050,715,4559,108,3448,5647,334,24664,31695,742,398,1416,627,2137,2385,1181,0
222,10/22/2020 10:00:00 AM,604,11514,19897,17079,1145,721,2168,1299,3067,735,4581,115,3482,5684,336,24772,31844,743,401,1420,631,2158,2397,1186,0
223,10/23/2020 10:00:00 AM,614,11568,19980,17181,1153,726,2175,1307,3078,742,4610,117,3492,5716,338,24877,31999,758,404,1429,636,2182,2418,1191,0
224,10/24/2020 10:00:00 AM,624,11645,20108,17312,1158,729,2192,1310,3090,761,4643,123,3513,5743,338,24984,32121,762,409,1443,636,2211,2434,1198,0
225,10/25/2020 10:00:00 AM,635,11724,20208,17440,1162,732,2202,1322,3113,769,4678,126,3529,5777,338,25147,32225,767,410,1452,641,2229,2451,1202,0
226,10/26/2020 10:00:00 AM,646,11778,20273,17506,1170,736,2211,1325,3136,775,4700,130,3541,5801,340,25281,32292,768,410,1459,643,2239,2480,1204,0
227,10/27/2020 10:00:00 AM,660,11872,20419,17581,1176,740,2219,1340,3154,779,4721,139,3555,5845,342,25438,32499,773,419,1470,645,2252,2493,1210,0
228,10/28/2020 10:00:00 AM,679,11921,20510,17664,1184,740,2231,1348,3168,782,4748,142,3583,5865,343,25562,32648,777,421,1475,647,2281,2494,1212,0
229,10/29/2020 10:00:00 AM,693,12040,20670,17774,1188,750,2258,1354,3187,797,4786,147,3612,5894,343,25692,32800,784,427,1497,651,2304,2519,1220,0
230,10/30/2020 10:00:00 AM,735,12115,20867,17850,1195,753,2278,1365,3208,808,4826,147,3649,5930,343,25831,32937,798,435,1501,655,2327,2539,1222,0
231,10/31/2020 10:00:00 AM,766,12202,21017,17976,1204,760,2294,1372,3226,821,4857,150,3680,5959,346,25993,33111,802,438,1504,658,2358,2554,1233,0
232,11/01/2020 10:00:00 AM,775,12256,21194,18100,1212,765,2301,1381,3247,829,4909,150,3726,5988,348,26114,33248,804,439,1507,660,2378,2572,1242,0
233,11/02/2020 10:00:00 AM,791,12361,21349,18211,1216,767,2311,1390,3263,833,4936,154,3747,6019,348,26277,33360,806,451,1510,663,2393,2590,1249,0
234,11/03/2020 10:00:00 AM,845,12448,21479,18292,1224,767,2330,1398,3273,835,4951,161,3768,6059,349,26398,33488,812,454,1515,662,2404,2601,1253,0
235,11/04/2020 10:00:00 AM,884,12540,21605,18457,1230,767,2354,1407,3299,837,4987,165,3820,6085,349,26551,33651,818,462,1524,663,2445,2612,1254,0
236,11/05/2020 10:00:00 AM,923,12653,21795,18610,1243,772,2364,1427,3324,839,5030,168,3873,6132,353,26777,33821,822,476,1529,668,2479,2628,1258,0
237,11/06/2020 10:00:00 AM,972,12795,22046,18824,1265,774,2396,1439,3377,848,5069,172,3948,6195,354,26996,34070,826,484,1558,668,2514,2647,1268,0
238,11/07/2020 10:00:00 AM,1023,12970,22267,19065,1270,777,2421,1459,3419,858,5116,174,3999,6261,355,27169,34246,835,489,1571,670,2557,2671,1273,0
239,11/08/2020 10:00:00 AM,1051,13067,22427,19196,1274,778,2451,1466,3443,869,5166,181,4076,6302,355,27342,34384,837,492,1591,673,2612,2687,1276,0
240,11/09/2020 10:00:00 AM,1119,13224,22668,19358,1283,781,2474,1473,3484,873,5211,189,4130,6376,355,27546,34589,840,495,1601,674,2632,2714,1282,0
241,11/10/2020 10:00:00 AM,1156,13335,22864,19549,1294,783,2504,1489,3516,874,5257,194,4188,6443,360,27731,34856,848,506,1608,674,2664,2728,1288,0
242,11/11/2020 10:00:00 AM,1245,13495,23104,19768,1300,785,2551,1508,3553,878,5318,209,4272,6517,363,27969,35146,856,510,1630,678,2725,2741,1302,0
243,11/12/2020 10:00:00 AM,1273,13595,23392,20006,1313,786,2592,1526,3592,886,5373,211,4329,6581,366,28146,35336,870,517,1651,685,2787,2776,1311,0
244,11/13/2020 10:00:00 AM,1399,13751,23682,20197,1341,798,2615,1539,3616,898,5441,240,4408,6656,369,28385,35666,885,529,1670,689,2875,2800,1320,0
245,11/14/2020 10:00:00 AM,1520,13948,24013,20470,1350,804,2682,1570,3670,905,5495,274,4532,6731,370,28727,36052,902,532,1702,697,2955,2849,1340,0
246,11/15/2020 10:00:00 AM,1606,14129,24285,20737,1365,810,2703,1596,3717,910,5565,305,4616,6791,372,28989,36269,908,540,1731,708,3038,2884,1356,0
247,11/16/2020 10:00:00 AM,1664,14307,24594,21010,1373,819,2737,1640,3738,911,5616,312,4749,6843,374,29205,36486,927,541,1749,715,3070,2914,1362,0
248,11/17/2020 10:00:00 AM,1771,14480,24897,21186,1388,823,2780,1669,3790,918,5703,328,4828,6945,376,29571,36905,937,575,1771,719,3112,2956,1377,0
249,11/18/2020 10:00:00 AM,1889,14660,25253,21409,1402,825,2845,1694,3831,919,5778,366,4959,7005,377,29833,37184,946,584,1786,723,3187,2992,1376,0
250,11/19/2020 10:00:00 AM,1990,14931,25753,21783,1430,839,2880,1744,3880,929,5859,408,5102,7106,387,30298,37581,963,609,1815,726,3295,3033,1392,0
251,11/20/2020 10:00:00 AM,2115,15103,26088,22010,1439,844,2930,1795,3938,932,5943,447,5184,7201,391,30580,38053,990,636,1851,733,3409,3071,1403,0
252,11/21/2020 10:00:00 AM,2282,15294,26583,22466,1456,860,2978,1820,3990,950,6036,470,5344,7340,399,30882,38428,1001,727,1889,742,3509,3112,1413,0
253,11/22/2020 10:00:00 AM,2421,15471,26967,22699,1468,869,3020,1857,4025,961,6139,496,5461,7398,404,31176,38699,1010,742,1935,749,3601,3148,1423,0
254,11/23/2020 10:00:00 AM,2493,15587,27223,22932,1480,878,3052,1890,4065,968,6198,504,5537,7488,410,31389,38985,1027,743,1949,761,3651,3172,1415,0
255,11/24/2020 10:00:00 AM,2593,15715,27402,23087,1495,890,3092,1923,4104,970,6267,545,5600,7542,413,31622,39297,1033,761,1983,781,3710,3214,1425,0
256,11/25/2020 10:00:00 AM,2734,15939,27780,23361,1521,902,3135,1944,4158,970,6385,612,5714,7638,416,32005,39790,1045,777,2012,786,3847,3261,1429,0
257,11/26/2020 10:00:00 AM,2830,16114,28146,23682,1528,919,3174,1979,4184,988,6485,657,5805,7803,425,32259,40095,1049,810,2028,793,3982,3305,1440,0
258,11/27/2020 10:00:00 AM,2962,16297,28504,23955,1537,938,3222,2023,4254,996,6575,682,5875,7917,428,32601,40479,1061,823,2063,801,4074,3348,1443,0
259,11/28/2020 10:00:00 AM,3028,16404,28752,24120,1555,945,3254,2045,4276,998,6660,701,5940,7961,435,32790,40797,1074,886,2075,805,4116,3377,1454,0
260,11/29/2020 10:00:00 AM,3093,16585,29008,24309,1583,952,3291,2078,4317,1004,6773,728,6026,8066,438,33103,41067,1083,910,2118,811,4240,3402,1462,0
261,11/30/2020 10:00:00 AM,3168,16742,29315,24521,1598,972,3327,2109,4391,1011,6871,755,6099,8155,448,33400,41297,1097,918,2153,819,4281,3440,1483,0
262,12/01/2020 10:00:00 AM,3366,16919,29645,24762,1611,983,3366,2156,4434,1021,6949,788,6160,8252,466,33905,41857,1108,1061,2174,824,4375,3462,1491,0
263,12/02/2020 10:00:00 AM,3466,17166,29897,25006,1635,990,3415,2199,4502,1030,7123,817,6234,8343,467,34159,42190,1111,1102,2210,830,4469,3490,1504,0
264,12/03/2020 10:00:00 AM,3597,17318,30187,25270,1660,1003,3442,2242,4522,1034,7249,874,6294,8410,472,34425,42458,1135,1117,2240,836,4570,3530,1514,0
265,12/04/2020 10:00:00 AM,3900,17627,30671,25686,1687,1030,3517,2288,4593,1045,7425,915,6405,8561,486,35056,43000,1159,1127,2295,848,4764,3570,1536,0
